phase,group,team_a,team_b,goals_a,goals_b,aet,penalties_a,penalties_b,date
group,A,Mexico,South Africa,2,0,,,,2026-06-11
group,A,Mexico,Korea Republic,1,0,,,,2026-06-18
group,A,Mexico,Czechia,3,0,,,,2026-06-24
group,A,South Africa,Korea Republic,1,0,,,,2026-06-24
group,A,South Africa,Czechia,1,1,,,,2026-06-18
group,A,Korea Republic,Czechia,2,1,,,,2026-06-11
group,B,Canada,Bosnia and Herzegovina,1,1,,,,2026-06-12
group,B,Canada,Qatar,6,0,,,,2026-06-18
group,B,Canada,Switzerland,1,2,,,,2026-06-24
group,B,Bosnia and Herzegovina,Qatar,3,1,,,,2026-06-24
group,B,Bosnia and Herzegovina,Switzerland,1,4,,,,2026-06-18
group,B,Qatar,Switzerland,1,1,,,,2026-06-13
group,C,Brazil,Morocco,1,1,,,,2026-06-13
group,C,Brazil,Haiti,3,0,,,,2026-06-19
group,C,Brazil,Scotland,3,0,,,,2026-06-24
group,C,Morocco,Haiti,4,2,,,,2026-06-24
group,C,Morocco,Scotland,1,0,,,,2026-06-19
group,C,Haiti,Scotland,0,1,,,,2026-06-13
group,D,USA,Paraguay,4,1,,,,2026-06-12
group,D,USA,Australia,2,0,,,,2026-06-19
group,D,USA,Turkey,2,3,,,,2026-06-25
group,D,Paraguay,Australia,0,0,,,,2026-06-25
group,D,Paraguay,Turkey,1,0,,,,2026-06-19
group,D,Australia,Turkey,2,0,,,,2026-06-14
group,E,Germany,Curacao,7,1,,,,2026-06-14
group,E,Germany,Cote d'Ivoire,2,1,,,,2026-06-20
group,E,Germany,Ecuador,1,2,,,,2026-06-25
group,E,Curacao,Cote d'Ivoire,0,2,,,,2026-06-25
group,E,Curacao,Ecuador,0,0,,,,2026-06-20
group,E,Cote d'Ivoire,Ecuador,1,0,,,,2026-06-14
group,F,Netherlands,Japan,2,2,,,,2026-06-14
group,F,Netherlands,Sweden,5,1,,,,2026-06-20
group,F,Netherlands,Tunisia,3,1,,,,2026-06-25
group,F,Japan,Sweden,1,1,,,,2026-06-25
group,F,Japan,Tunisia,4,0,,,,2026-06-21
group,F,Sweden,Tunisia,5,1,,,,2026-06-14
group,G,Belgium,Egypt,1,1,,,,2026-06-15
group,G,Belgium,IR Iran,0,0,,,,2026-06-21
group,G,Belgium,New Zealand,,,,,,
group,G,Egypt,IR Iran,,,,,,
group,G,Egypt,New Zealand,3,1,,,,2026-06-21
group,G,IR Iran,New Zealand,2,2,,,,2026-06-15
group,H,Spain,Cabo Verde,0,0,,,,2026-06-15
group,H,Spain,Saudi Arabia,4,0,,,,2026-06-21
group,H,Spain,Uruguay,,,,,,
group,H,Cabo Verde,Saudi Arabia,,,,,,
group,H,Cabo Verde,Uruguay,2,2,,,,2026-06-21
group,H,Saudi Arabia,Uruguay,1,1,,,,2026-06-15
group,I,France,Senegal,3,1,,,,2026-06-16
group,I,France,Iraq,3,0,,,,2026-06-22
group,I,France,Norway,,,,,,
group,I,Senegal,Iraq,,,,,,
group,I,Senegal,Norway,2,3,,,,2026-06-22
group,I,Iraq,Norway,1,4,,,,2026-06-16
group,J,Argentina,Algeria,3,0,,,,2026-06-16
group,J,Argentina,Austria,2,0,,,,2026-06-22
group,J,Argentina,Jordan,,,,,,
group,J,Algeria,Austria,,,,,,
group,J,Algeria,Jordan,2,1,,,,2026-06-22
group,J,Austria,Jordan,3,1,,,,2026-06-17
group,K,Portugal,DR Congo,1,1,,,,2026-06-17
group,K,Portugal,Uzbekistan,5,0,,,,2026-06-23
group,K,Portugal,Colombia,,,,,,
group,K,DR Congo,Uzbekistan,,,,,,
group,K,DR Congo,Colombia,0,1,,,,2026-06-23
group,K,Uzbekistan,Colombia,1,3,,,,2026-06-17
group,L,England,Croatia,4,2,,,,2026-06-17
group,L,England,Ghana,0,0,,,,2026-06-23
group,L,England,Panama,,,,,,
group,L,Croatia,Ghana,,,,,,
group,L,Croatia,Panama,1,0,,,,2026-06-23
group,L,Ghana,Panama,1,0,,,,2026-06-17
